allegheny	31442	32994	32463	162174	44196	60183
arizona	180734	127069	101616	967066	266034	384505
asu	183991	112261	95641	944372	233065	402546
baylor	151259	125984	92373	369630	126229	224474
bc	132807	110667	73145	545196	153733	224775
berkeley	639812	452739	145844	2381055	1001707	718266
brandeis	80683	74077	37073	418512	118861	172996
brown	259385	226285	125451	739810	272724	411053
bu	89540	73764	50462	456331	140586	214291
calgary	6526	9136	10965	47132	18117	43623
chi	436733	321453	176255	1568395	471270	566564
cmu	30789	41156	33670	275732	89373	172707
colby	46718	35957	17574	194249	49304	42498
columbia	432419	295604	179675	1605361	465364	581972
cornell	420364	328718	236009	1713728	574022	733246
dart	233619	127579	91240	599404	150274	253908
duke	375795	306443	191151	1078517	397714	594258
emory	149924	113770	73738	707560	193657	352771
fsu	139591	133993	130644	654938	234491	415839
getty	22537	32929	21298	122815	48905	75898
harvard	722605	519223	240783	2057418	700190	784044
iastate	118938	107857	118309	624470	193648	327859
ind	299793	250103	137446	1258456	390994	550279
iowa	284832	192100	157571	1003396	274210	526522
jhu	71812	51141	52469	215592	46618	159253
ksu	168519	131573	125164	526520	170371	327055
ku	302718	244614	154262	915485	343941	517798
lafayette	46595	55977	37123	203823	65111	105615
loc	519952	304611	167688	2275062	640589	730075
mcgill	123477	103887	67413	738085	203270	311244
miami	139396	77724	51419	424210	81089	85979
minn	391327	285731	242063	1101271	367612	621932
missouri	251039	215683	176967	691711	233316	462462
mit	94207	84927	87503	465869	161331	319494
msu	246388	217826	136651	960288	313627	497388
nccu	19368	18335	29958	105844	39294	58869
ncsu	144894	105481	98698	552666	169762	307516
nd	196559	174036	104875	661223	221211	360787
nwu	269059	204731	142491	811191	272153	398166
nypl	529197	392015	133546	796568	215851	248432
nyu	153246	104969	57723	862697	209759	295439
osu	255809	205123	188168	1069762	353007	584803
ou	221002	176977	126908	534689	193969	375943
pitt	155733	107970	117663	935654	266522	387772
prnc	401395	347658	150419	1265410	398134	521779
psu	200002	152743	97742	836800	207981	299612
purd	153890	136552	130086	496793	168440	322720
stanford	358741	265078	211597	1345618	459857	675703
syr	129428	133735	114828	627888	199399	375326
tamu	181934	137356	121147	698516	213367	414010
temple	98710	82147	82602	616855	157326	258088
tufts	61259	64185	49267	321054	105426	185762
ua	194157	150578	118005	508506	149199	285543
ualberta	126498	93519	92220	888429	205054	429248
ubc	60694	40138	11617	203802	61763	79157
ucdavis	136546	110362	98561	708810	203504	339648
uci	91199	82691	91803	704016	200127	330476
ucla	458503	326021	190120	1726030	595167	722519
ucmerced	1051	613	97	32772	4455	1577
uconn	137512	141172	92342	564315	201454	339833
ucr	135168	114713	92902	560715	169052	279589
ucsb	113538	82181	85951	567071	173717	334196
ucsc	35704	61944	67169	371337	142773	242260
ucsd	95861	103729	91924	618495	262319	321412
ucsf	22798	16030	26545	110471	42060	104570
udel	140338	88386	84632	580407	94483	257494
ufl	258256	219398	154095	787335	277630	504572
uh	148622	120861	79583	572197	176035	329682
uic	140153	79500	74200	617223	160383	308008
uiuc	462622	265951	142560	1520631	357809	396625
umass	143597	127649	101501	727262	224092	331213
umd	154279	135785	108152	779380	230292	366386
unc	332741	266866	177009	1191752	362629	540963
unl	260277	224369	164914	658886	241561	410455
uom	606678	376330	450258	2683120	727761	1282086
upenn	253921	232381	154925	1165210	386409	492260
uq	16859	29432	30541	253252	80457	183688
usu	130511	45642	91	298297	52083	657
utah	62651	51433	31918	610620	116301	144960
utk	137111	126842	119697	626572	178038	345986
uva	343194	279495	160731	1014242	335183	504821
uvm	78803	73766	44895	377943	115116	234044
vanderbilt	159797	148524	115626	541515	207882	342764
vt	90490	103563	101314	504349	161235	286040
washington	280554	236227	188981	1301984	445462	706197
wfu	67755	59336	33779	393350	109862	175642
wisc	548972	396407	229047	1830285	596588	741055
wustl	211081	199539	112052	695846	279388	380321
yale	438879	305796	213939	1576803	447238	673508
