arizona,2665245,316593,77747,2491620,122369,76353,1146242,388250,484870
asu,2375849,99553,56733,1982635,50904,56666,1001897,253518,460495
baylor,1132694,103742,37742,968908,48285,37406,520159,247753,312598
bc,1691867,134868,34120,1448455,62760,32389,715156,278832,299199
berkeley,5794665,1159843,217712,4863581,363612,217286,2980150,1423863,846309
brandeis,806789,127736,13943,806448,55043,13905,496657,190579,211204
brown,1909570,157963,51935,1747894,153833,48290,997710,491609,535219
bu,1017129,89889,31559,929701,67536,31344,545439,246698,309608
calgary,285344,3235,4863,285058,3230,4853,53439,26180,56682
chi,5130711,827973,1842511,4282684,182498,149182,2002698,779183,738185
cmu,684443,18230,9828,684246,18201,9813,306659,129653,204138
columbia,3510833,266698,108909,2931171,112448,108010,1487650,573259,663048
cornell,5244105,529790,182789,4352564,187238,181418,2159234,905483,965445
dart,1586773,105907,39925,1388106,84687,39652,756815,331698,388222
duke,3311872,330794,143285,2892024,125204,143103,1452147,694341,781767
emory,2101677,293292,667102,1797846,57949,47957,856601,303771,428191
fsu,1616649,78462,263227,1484163,54348,66446,793505,364194,544512
getty,757578,39265,17357,722602,13922,17349,145203,80947,97292
harvard,10233139,709392,366809,8364089,226755,313753,2617625,1101186,991282
iastate,1392912,46241,40902,1392694,46230,40891,742648,296731,445157
ind,3252361,329367,93319,2918226,132426,93262,1505599,597215,673897
iowa,3396989,2197823,1531327,2499982,148286,70999,1286635,461983,681787
jhu,671234,37648,17308,613613,32122,17183,298967,105925,198058
ksu,1569456,63358,48566,1170183,47086,48348,693714,295342,449236
ku,2827683,159056,116499,2825218,158993,116479,1216417,579955,670407
lafayette,369711,44164,6263,355917,16316,6261,250164,119589,142771
loc,9412653,193128,488913,9412652,193128,488912,2791556,935948,894413
mcgill,2067713,414736,51541,1875486,130883,51050,860669,304204,380509
miami,1323989,171303,23991,1236037,69705,23390,562922,156779,133625
minn,3196276,347165,115175,2649706,119103,112594,1461209,635708,853220
missouri,1689215,190317,68011,1543291,80783,67999,941174,439478,635976
mit,1430237,49814,61473,1246173,45540,61459,561315,245386,407127
msu,2407733,96216,132214,2406931,94797,115769,1205276,523145,631645
nccu,239646,16859,8286,192484,6487,8255,125151,56644,88499
ncsu,1487558,108300,47066,1301918,54877,46664,710993,283418,403005
nd,1817106,75983,42322,1806873,75572,42276,851459,378284,461292
nwu,2129050,328103,57944,2011417,125790,57226,1069670,411164,477234
nypl,2388374,177590,149003,2264587,168085,146485,350779,238210,99819
nyu,2441244,409191,41658,2238187,124312,41432,1014744,311542,354542
osu,3940570,363518,108042,2944025,102883,107532,1480546,602002,824092
ou,1858748,60599,71820,1826923,59988,69151,754708,364232,498192
pitt,3115166,312277,25488,2146899,74398,23149,1090202,371727,502986
prnc,3510582,131917,85589,3482462,130473,84025,1664986,736960,671750
psu,3311631,242267,61002,2122285,62255,59507,1035213,350898,394297
purd,1123366,117935,54242,1031261,56065,48883,649826,298851,449500
stanford,4593625,171893,226010,4425914,145518,214634,1676377,724635,873143
syr,1226836,200267,51653,1163463,84048,50269,732184,322775,488803
tamu,2276241,139419,69091,2130001,67238,69044,859622,323902,502434
tufts,756780,66416,13730,676073,23895,13721,381877,167000,237211
ualberta,3030861,563169,1458656,2508705,127456,78222,1013714,295080,520709
ucdavis,1579725,243623,63358,1502724,100559,56998,842918,317619,434949
uci,1475973,214441,39043,1418957,78499,38980,794211,279244,420942
ucla,5671427,997560,166137,4630764,299760,144749,2170992,946398,907844
ucmerced,95723,4756,135,94737,2133,132,33811,5058,1643
uconn,1143185,60211,42498,1132349,59904,42336,701060,338025,429589
ucr,1399517,88884,38406,1387186,88289,38114,705905,282373,374921
ucsb,1399755,232281,52358,1351337,86462,52073,697763,270151,423427
ucsc,731825,98339,17689,702449,43447,17684,417085,201519,292384
ucsd,1371940,226712,33362,1294393,89660,32003,740356,329893,269810
ucsf,216723,32609,11577,216024,18739,11284,133607,57970,133735
udel,1373348,65582,23168,1317717,62568,23025,752919,224475,208311
ufl,2197640,102898,109468,2144612,90601,104223,1041382,487538,655314
uh,1397385,175176,39400,1247707,71578,39391,631968,246914,405381
uic,1267708,107276,21885,1226256,57084,21872,727355,239305,366091
uiuc,4877204,785303,1955841,4390984,166900,140558,1979878,617943,535548
umd,2276481,187453,55750,1882935,69311,55745,932654,361396,473739
unc,3731296,339272,112012,3155065,126796,111979,1508401,656030,708849
unl,2365568,189597,104912,2029558,80508,100454,917323,457141,572567
uom,5269667,929254,189801,4596850,280931,183740,3284095,1098018,1719719
upenn,3159822,133945,72855,2762079,105807,70090,1425786,609576,638541
usu,925560,34649,0,897478,33477,0,428199,96829,747
utah,1368939,32021,16743,1327584,30797,16047,672487,165243,175378
uva,3216024,132577,84193,3150186,118152,79089,1373522,597629,634955
uvm,782638,195674,9784,761137,52210,9710,456199,185676,281098
vanderbilt,1349436,275684,38624,1244423,112633,38555,700390,351869,456093
vt,1088557,84130,1135056,1088522,67073,1135019,593442,267537,412216
washington,3744622,371927,131864,3051377,135224,131861,1580555,672658,890234
wfu,757879,43070,12152,752322,42638,12108,458583,166100,205440
wisc,4897450,235632,255307,4871996,201717,255237,2376513,982690,965872
wustl,1575107,142660,50458,1570164,130014,50309,917195,496216,508669
yale,6006593,444092,234589,5037447,152063,232250,2012794,763220,883014
