#### DIFF 1 ==> 2 ####
allegheny	264440	16417	3068	264352	16090	3066	193616	77190	92646
arizona	-55	72	-17	-63	86	-19	1558	4853	1251
asu	186056	218761	2569	227765	58913	2567	126466	91808	37692
baylor	161	-164	3	-167	164	3	730	4460	4249
bc	72128	136294	298376	-38402	1105	-154	-37153	-14432	-1279
berkeley	-417051	382346	5378	-205517	255528	5396	40717	30583	17801
brandeis	7598	604	84	7585	212	82	2538	2359	-1135
brown	-115	180	-65	-107	162	-54	1485	7400	1285
bu	-46270	-25648	-15354	27861	-3900	-15368	432	-32348	-44855
calgary	-7	7	0	-8	8	0	219	1073	-2094
chi	-403	14201	-13798	-798	1197	-399	2430	13540	4634
cmu	7719	4711	126	7704	4711	127	-138	876	2239
colby	400725	16375	3266	400385	16344	3256	240967	85261	60072
columbia	1840116	607733	36029	1660870	194773	35762	550130	187709	98599
cornell	-383109	418652	-19	-63535	134694	40	-25142	-2743	3810
dart	-21505	-35317	-10172	78084	-15216	-10264	76208	-53845	-43074
duke	631	-593	-38	-129	158	-38	2165	9816	3642
emory	785	-777	-8	203	-207	4	883	3656	-1682
fsu	34	189	-223	33	3	-36	1024	4290	1971
getty	297	-286	-11	13	-2	-11	149	887	-96
harvard	1672058	72706	-5430	1332507	85387	43278	162398	118227	33545
iastate	121	-86	-35	121	-86	-35	760	4774	1011
ind	237626	286830	10465	230369	77909	8049	52650	43882	13828
iowa	-311	1966	-1655	-337	383	-43	1593	4327	2306
jhu	10944	7655	442	9500	-8960	-155	-11563	-8166	13664
ksu	26	31	-57	20	37	-57	1325	6602	2983
ku	-236	317	-81	-236	317	-81	1786	8600	1653
lafayette	397	-389	-8	64	-56	-8	254	1499	-33
loc	-369	448	-79	-369	448	-79	3458	9252	3350
mcgill	13	-20	7	3	-10	7	893	2953	-1852
miami	-146	148	-2	-207	214	-5	684	2034	3773
minn	-85686	299621	3283	97172	81442	3161	31389	17635	10775
missouri	246	-214	-32	96	-64	-32	1576	9521	3453
mit	-13834	45602	-297	-135	33620	-296	-1239	872	-130
msu	77	-3	-74	77	-14	-63	1400	8308	2394
nccu	70	-66	-4	41	-37	-4	61	985	328
ncsu	-88809	90541	-8321	-43681	39747	-8082	-13433	-8175	3209
nd	39383	51299	910	39999	51247	917	6323	16963	4370
nwu	126076	65412	22023	122288	8540	21136	10580	65720	63423
nypl	1369269	174193	50795	1427030	108305	1841630	974986	369656	282159
nyu	-5	45	-40	-5	45	-40	1199	3186	-1380
osu	-874759	844424	917005	-639437	234386	20110	-154975	-43872	-51121
ou	-274	373	-99	-262	323	-61	983	6714	4659
pitt	1171	-1166	-5	311	-313	0	1185	2765	2449
prnc	-267	286	-19	-269	287	-18	1819	8832	448
psu	-1658	1717	-59	-29	79	-51	1589	9826	3057
purd	-27	111	-84	-323	404	-81	857	6141	3306
stanford	150680	709692	8895	124003	168968	8249	27982	300	14157
syr	53435	7872	980	49338	2360	940	25132	10359	1351
tamu	16975	242469	7577	-97657	37318	2542	20828	26821	32723
temple	1670237	109794	33933	1409779	41876	33604	715565	239473	340690
tufts	-21	29	-8	-1	9	-8	436	2611	-2182
ua	1404642	193465	54701	1256300	77352	45556	702663	299777	403548
ualberta	33	746	-779	21	-11	-10	1213	3493	759
ubc	556429	115023	11892	542813	42215	11848	264496	101901	90774
ucdavis	-358	-1937	-26	-340	-1423	-25	2438	-3753	3260
uci	129	-134	5	110	-115	5	1004	3574	1337
ucla	114485	16062	1873	100442	3994	1836	13541	-25210	4795
ucmerced	0	-1	1	0	-1	1	12	10	31
uconn	-112	107	5	-115	110	5	767	4601	2586
ucr	-137	-1178	-103	141	-1145	-96	-10022	1392	-2430
ucsb	-5884	-17184	-570	-6165	-13316	-564	-17154	-14253	-3280
ucsc	-7067	710	625	-7255	1398	626	-10044	3198	17045
ucsd	-28749	8991	10352	-25648	-6749	9183	-26000	36155	143526
ucsf	3983	11236	-228	2471	273	-576	-338	120	-2620
udel	-29428	8023	14289	-16761	-27824	13988	-32174	-41606	133815
ufl	-353	454	-101	-265	359	-94	4209	9490	3353
uh	234336	66194	-1644	128785	8274	-1649	88851	49982	3884
uic	218266	52934	1933	115675	10507	1922	30021	578	16117
uiuc	43	3602	-3645	-266	347	-81	3375	5817	3637
umass	1539288	54160	34327	1537391	53849	34267	870859	351741	432714
umd	555	-502	-53	-220	273	-53	1005	4681	799
unc	87525	269563	5749	136609	66547	5746	16092	-26535	9123
unl	530	-469	-61	204	-149	-54	1840	8789	2802
uom	-263	240	23	-251	228	22	5703	6073	12625
upenn	54825	111352	-1492	81208	101131	565	-6655	9214	8644
uq	916726	112203	35424	715414	33781	35246	270111	109889	214229
usu	-339	339	0	-349	349	0	609	896	1
utah	186	-176	-10	179	-170	-9	784	2491	1500
utk	1288250	192548	38603	1284806	71823	38428	763683	304880	465683
uva	-328307	289090	9054	-470803	53372	9187	-16086	17049	30597
uvm	95	-84	-11	97	-87	-11	547	3206	-2159
vanderbilt	-43	45	-2	-43	43	-1	922	4537	2297
vt	31829	-14584	-1092513	31822	-12004	-1092481	1397	-2739	-24862
washington	549	-518	-31	-42	73	-31	1983	9031	4944
wfu	25385	8490	2054	25415	8510	2059	2522	3098	3981
wisc	-73	158	-85	-195	281	-86	2744	10305	4230
wustl	-31263	-28779	-1008	-26702	-16159	-894	-10268	-17289	-16296
yale	-355096	-7430	-145	-279379	-4007	-145	2888	-10186	4433
