Config could not find file /etc/conf/rubyconf.prop
Reading conf /afs/umich.edu/user/m/w/mwarin/phdb_scripts/conf/rubyconf.prop
{"db_driver"=>"com.mysql.jdbc.Driver", "db_url"=>"jdbc:mysql://mysql-htdev/ht_repository", "db_user"=>"ht_repository", "db_pw"=>"X5Gz/YtOs3h.E"}
2013-11-25 15:06:50 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: SELECT DISTINCT member_id FROM holdings_memberitem
2013-11-25 15:06:53 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: allegheny 153112
2013-11-25 15:07:20 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: arizona 1019704
2013-11-25 15:07:46 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: asu 994261
2013-11-25 15:07:58 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: baylor 451131
2013-11-25 15:08:30 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: bc 574946
2013-11-25 15:09:49 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: berkeley 2331857
2013-11-25 15:10:02 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: brandeis 428710
2013-11-25 15:10:17 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: brown 857526
2013-11-25 15:10:23 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: bu 457326
2013-11-25 15:10:25 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: calgary 50472
2013-11-25 15:40:33 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: chi 1809031
2013-11-25 15:40:37 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: cmu 256336
2013-11-25 15:40:40 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: colby 198181
2013-11-25 15:41:19 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: columbia 1817406
2013-11-25 15:41:56 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: cornell 1935875
2013-11-25 15:42:06 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: dart 692050
2013-11-25 15:42:30 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: duke 1294384
2013-11-25 15:43:06 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: emory 744534
2013-11-25 15:43:19 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: fsu 681330
2013-11-25 15:43:23 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: getty 141146
2013-11-25 16:09:00 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: harvard 2546072
2013-11-25 16:09:08 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: iastate 635832
2013-11-25 16:09:34 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ind 1415377
2013-11-25 16:35:44 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: iowa 1123888
2013-11-25 16:35:48 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: jhu 254745
2013-11-25 16:35:58 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ksu 588001
2013-11-25 16:36:14 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ku 1094316
2013-11-25 16:36:17 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: lafayette 198289
2013-11-25 17:01:50 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: loc 2501651
2013-11-25 17:02:05 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: mcgill 744451
2013-11-25 17:02:13 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: miami 507045
2013-11-25 17:02:39 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: minn 1299365
2013-11-25 17:02:51 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: missouri 812230
2013-11-25 17:03:00 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: mit 528785
2013-11-25 17:03:14 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: msu 1067139
2013-11-25 17:03:16 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: nccu 98776
2013-11-25 17:03:25 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ncsu 601194
2013-11-25 17:03:36 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: nd 769336
2013-11-25 17:03:52 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: nwu 943125
2013-11-25 17:04:11 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: nypl 1142859
2013-11-25 17:04:25 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: nyu 883288
2013-11-25 17:06:03 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: osu 1156960
2013-11-25 17:06:12 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ou 647810
2013-11-25 17:07:00 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: pitt 956763
2013-11-25 17:07:20 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: prnc 1468949
2013-11-25 17:07:42 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: psu 886711
2013-11-25 17:07:50 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: purd 533824
2013-11-25 17:08:23 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: stanford 1547109
2013-11-25 17:08:34 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: syr 654595
2013-11-25 17:08:50 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: tamu 782701
2013-11-25 17:09:00 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: temple 608477
2013-11-25 17:09:05 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: tufts 315975
2013-11-25 17:09:16 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ua 608204
2013-11-25 17:10:20 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ualberta 869100
2013-11-25 17:10:25 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ubc 227722
2013-11-25 17:10:37 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ucdavis 762917
2013-11-25 17:10:48 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: uci 698730
2013-11-25 17:11:37 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ucla 1978234
2013-11-25 17:11:37 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ucmerced 28665
2013-11-25 17:11:45 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: uconn 606714
2013-11-25 17:11:53 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ucr 627759
2013-11-25 17:12:03 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ucsb 601380
2013-11-25 17:12:08 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ucsc 379411
2013-11-25 17:12:19 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ucsd 668326
2013-11-25 17:12:21 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ucsf 118133
2013-11-25 17:12:29 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: udel 602629
2013-11-25 17:12:42 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: ufl 937554
2013-11-25 17:12:54 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: uh 636318
2013-11-25 17:13:04 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: uic 651994
2013-11-25 17:39:17 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: uiuc 1765278
2013-11-25 17:39:26 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: umass 745071
2013-11-25 17:39:42 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: umd 821957
2013-11-25 17:40:09 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: unc 1372488
2013-11-25 17:40:24 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: unl 799868
2013-11-25 18:06:07 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: uom 2931645
2013-11-25 18:06:26 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: upenn 1251375
2013-11-25 18:06:33 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: uq 238254
2013-11-25 18:06:38 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: usu 372384
2013-11-25 18:06:45 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: utah 578140
2013-11-25 18:06:58 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: utk 651119
2013-11-25 18:07:18 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: uva 1198897
2013-11-25 18:07:25 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: uvm 378655
2013-11-25 18:07:34 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: vanderbilt 599920
2013-11-25 18:07:41 /afs/umich.edu/user/m/w/mwarin/phdb_scripts/lib//hathilog.rb(41) DEBUG: vt 514762
