#OCLC	#UDEL_COPY_COUNT
1063160	1
1759297	1
1604393	1
1449218	1
1644531	1
50195264	1
29605326	1
1755501	1
9693280	1
1759015	1
1644872	1
1554482	1
10368137	1
2441043	1
1604877	1
9430322	1
1479298	1
1651501	1
1757555	1
506206	2
285143	1
611820	1
3068388	1
1179029	1
1199975	1
4601767	1
7394539	1
1595694	1
3260220	2
2917795	4
2620682	1
2946858	1
845281	1
1166583	1
2106208	1
1497391	2
6021426	1
1741539	1
408107	2
1454295	1
1650697	1
1651877	1
761345	1
654038	1
8407563	1
689054	1
1549417	1
853783	1
3672336	1
1193773	1
1520212	2
13475317	1
2768878	1
834460	2
7305505	1
1477166	2
926331	1
6003604	1
2514008	1
648934	1
3135058	1
7513611	1
1215027	1
7330399	1
307613	1
1770207	1
1641459	1
5437585	1
1764128	1
1519014	1
1081684	1
1536554	1
47668689	1
1714662	1
1770006	1
1641426	1
1643874	1
1480830	1
4448379	1
1482111	1
1449480	1
1752025	1
1564155	1
1124612	1
2139602	1
1586895	1
1696411	1
1360929	1
1607779	1
1644869	1
1480784	1
1642494	1
2210922	1
5869382	1
7387896	1
7166483	1
1766738	1
1481149	1
1642879	1
1762430	1
1536785	1
1758409	1
1760021	1
1553947	1
1606714	1
1590460	1
9279291	1
1537100	1
1608100	1
1588506	1
1755507	1
6029319	1
1166994	1
1763249	1
2533861	1
8981941	1
1751800	1
1585750	1
1642903	1
1604594	1
1641165	1
3642059	1
1775747	1
9988826	1
1567615	1
7228782	1
41519243	1
1374376	1
1116801	1
1606906	1
1532700	1
1586594	1
1605290	1
1590761	1
1640649	1
1915327	1
19595463	1
5746509	1
22372460	1
3325288	1
1879009	1
4818791	1
10068034	1
5879814	1
1382862	1
1280185	1
1759696	1
1460620	1
1481573	1
1482009	1
1758549	1
1766325	1
1764127	1
2210889	1
49956351	1
1160436	1
1635861	1
1331348	1
1762483	1
1765888	1
1481408	1
1200233	1
1513930	1
1780010	1
1567791	1
1481973	1
2255681	1
1459299	3
9392075	1
1920198	1
3049276	1
3444269	2
1396954	1
14155199	1
634010	2
820574	2
12118385	1
3081286	1
616616	2
1292807	1
2291365	1
191738	2
5349367	1
343735	4
1671260	1
544448	1
281050	2
5694945	1
3257218	1
1932507	2
2363992	2
1080574	1
1615311	1
505193	1
506938	1
2541757	1
2759161	1
2167314	1
2782454	1
685508	6
3951183	2
2664831	1
6859420	1
843430	1
4473702	1
1024021	3
2783872	1
830751	1
7903424	1
1847251	1
7974222	1
950510	1
370851	1
6786628	1
1212341	1
23426362	1
9630744	2
2919114	1
519062	1
307866	1
1295292	1
1830121	1
370777	1
1538117	2
8089142	1
2408016	4
2047051	1
7447511	1
4877289	1
965977	1
784486	1
6385433	1
2370410	1
3353531	1
992369	1
1118803	1
1471590	1
7681859	1
4182977	1
8212669	1
5159029	1
683045	1
872101	1
7993510	1
2173455	1
687586	1
2060210	1
387474	1
4617575	1
2454642	1
1952638	2
12003288	1
8008837	1
4045465	1
1804621	1
1921788	1
1835126	1
5189704	1
45883351	1
921949	1
3975611	1
2865424	1
3941072	1
6952589	1
3337169	1
5059331	1
8517881	1
4129148	1
1716190	1
64216078	1
5048700	1
337614	2
1349507	1
7009859	1
1619052	1
1133283	1
14018941	1
5854779	1
4255923	1
4929287	1
5716257	1
18289247	1
352647	2
1403239	1
1138812	2
4333567	1
2947073	1
1019661	4
2619759	1
666336	1
6418822	1
1765171	1
7843965	1
1479253	1
1764041	1
5638231	1
8884941	1
1318210	1
2300654	1
1684832	4
1768763	1
336208	1
7568811	1
4365208	1
1019112	1
42946365	1
7417215	1
1138686	4
1526636	1
2232684	1
5810326	1
1479254	1
4994681	1
9977860	1
1537420	1
567313	1
1519465	1
8366898	1
1754786	1
6403725	1
5858648	1
8147280	1
17184157	1
21586793	1
1772122	1
8338583	1
7347194	1
8636121	1
2068922	1
1760145	1
10120636	1
1479394	1
1778553	1
213780800	1
3720410	1
3703709	1
213782240	1
2979079	1
4429146	1
1523778	1
10546956	1
4648854	1
5073007	1
635147	1
6242682	1
1640200	1
7886219	1
2298622	1
1389445	1
2717049	1
1226404	1
3988049	1
7423430	1
1544466	1
3470597	1
2725377	1
2214751	1
3550393	1
599101	1
13335548	1
2365287	1
1997987	1
1760350	1
2159443	1
2446732	1
1759790	1
7666636	2
8339033	1
7568653	1
7250494	1
1769743	1
3546089	1
4769691	1
4769434	1
9962333	1
4604488	1
2204933	1
23543897	1
7687961	1
222037839	1
633920	1
1286428	1
2445831	1
1778458	1
2116141	1
1776957	1
924117	1
1461913	1
2392773	1
5128784	1
1568169	1
16314164	1
7791536	1
2218620	1
1586811	1
4545734	1
2289136	1
26205689	1
1538755	1
3613894	1
14963198	1
2627977	1
12411129	1
14470147	1
1780488	1
3881698	1
276737	1
1591757	1
1765324	1
213508347	1
16940369	1
7075066	1
3578710	1
77859020	1
1850394	1
3895717	1
13652783	2
3005992	1
3814188	1
305101	1
792223	1
1772117	2
1146783	1
1752262	1
1778460	1
1589399	1
1715196	1
9960776	1
8506593	1
7149744	1
1780433	1
1586232	2
1590046	1
1187691	1
1480379	1
64227831	1
1772652	1
2003583	2
8594121	1
5652972	1
1772472	1
4261246	1
1751778	1
6879652	1
5760317	1
1639832	1
8492152	1
11410560	2
9495730	1
1715571	1
1892693	1
5651686	1
8769619	1
9907904	1
2038021	2
36012966	1
1196099	1
1751837	1
1569348	1
4124166	1
8510985	1
5205435	1
2497513	1
1766344	1
5121659	1
1645326	1
1564221	1
3761251	1
4048397	2
19421940	1
6019034	2
28655158	1
1486117	1
14557913	1
2022094	1
1762489	1
8226455	1
12646294	1
8199437	1
8199449	1
1645162	1
1642017	1
9566438	1
20694489	1
4999420	1
33918136	1
33926698	1
15666330	1
1570153	1
6947338	1
2593138	2
6106949	1
1186356	1
4726331	1
8216170	1
2294951	2
5015176	1
6238726	1
3317939	1
1625725	1
4208438	1
861711	2
3795713	1
